1,Action,2006-02-15 09:46:27.000000
2,Animation,2006-02-15 09:46:27.000000
3,Children,2006-02-15 09:46:27.000000
4,Classics,2006-02-15 09:46:27.000000
5,Comedy,2006-02-15 09:46:27.000000
6,Documentary,2006-02-15 09:46:27.000000
7,Drama,2006-02-15 09:46:27.000000
8,Family,2006-02-15 09:46:27.000000
9,Foreign,2006-02-15 09:46:27.000000
10,Games,2006-02-15 09:46:27.000000
11,Horror,2006-02-15 09:46:27.000000
12,Music,2006-02-15 09:46:27.000000
13,New,2006-02-15 09:46:27.000000
14,Sci-Fi,2006-02-15 09:46:27.000000
15,Sports,2006-02-15 09:46:27.000000
16,Travel,2006-02-15 09:46:27.000000
