1,Penelope,Guiness,2013-05-26 14:47:57.620000
2,Nick,Wahlberg,2013-05-26 14:47:57.620000
3,Ed,Chase,2013-05-26 14:47:57.620000
4,Jennifer,Davis,2013-05-26 14:47:57.620000
5,Johnny,Lollobrigida,2013-05-26 14:47:57.620000
6,Bette,Nicholson,2013-05-26 14:47:57.620000
7,Grace,Mostel,2013-05-26 14:47:57.620000
8,Matthew,Johansson,2013-05-26 14:47:57.620000
9,Joe,Swank,2013-05-26 14:47:57.620000
10,Christian,Gable,2013-05-26 14:47:57.620000
11,Zero,Cage,2013-05-26 14:47:57.620000
12,Karl,Berry,2013-05-26 14:47:57.620000
13,Uma,Wood,2013-05-26 14:47:57.620000
14,Vivien,Bergen,2013-05-26 14:47:57.620000
15,Cuba,Olivier,2013-05-26 14:47:57.620000
16,Fred,Costner,2013-05-26 14:47:57.620000
17,Helen,Voight,2013-05-26 14:47:57.620000
18,Dan,Torn,2013-05-26 14:47:57.620000
19,Bob,Fawcett,2013-05-26 14:47:57.620000
20,Lucille,Tracy,2013-05-26 14:47:57.620000
21,Kirsten,Paltrow,2013-05-26 14:47:57.620000
22,Elvis,Marx,2013-05-26 14:47:57.620000
23,Sandra,Kilmer,2013-05-26 14:47:57.620000
24,Cameron,Streep,2013-05-26 14:47:57.620000
25,Kevin,Bloom,2013-05-26 14:47:57.620000
26,Rip,Crawford,2013-05-26 14:47:57.620000
27,Julia,Mcqueen,2013-05-26 14:47:57.620000
28,Woody,Hoffman,2013-05-26 14:47:57.620000
29,Alec,Wayne,2013-05-26 14:47:57.620000
30,Sandra,Peck,2013-05-26 14:47:57.620000
31,Sissy,Sobieski,2013-05-26 14:47:57.620000
32,Tim,Hackman,2013-05-26 14:47:57.620000
33,Milla,Peck,2013-05-26 14:47:57.620000
34,Audrey,Olivier,2013-05-26 14:47:57.620000
35,Judy,Dean,2013-05-26 14:47:57.620000
36,Burt,Dukakis,2013-05-26 14:47:57.620000
37,Val,Bolger,2013-05-26 14:47:57.620000
38,Tom,Mckellen,2013-05-26 14:47:57.620000
39,Goldie,Brody,2013-05-26 14:47:57.620000
40,Johnny,Cage,2013-05-26 14:47:57.620000
41,Jodie,Degeneres,2013-05-26 14:47:57.620000
42,Tom,Miranda,2013-05-26 14:47:57.620000
43,Kirk,Jovovich,2013-05-26 14:47:57.620000
44,Nick,Stallone,2013-05-26 14:47:57.620000
45,Reese,Kilmer,2013-05-26 14:47:57.620000
46,Parker,Goldberg,2013-05-26 14:47:57.620000
47,Julia,Barrymore,2013-05-26 14:47:57.620000
48,Frances,Day-Lewis,2013-05-26 14:47:57.620000
49,Anne,Cronyn,2013-05-26 14:47:57.620000
50,Natalie,Hopkins,2013-05-26 14:47:57.620000
51,Gary,Phoenix,2013-05-26 14:47:57.620000
52,Carmen,Hunt,2013-05-26 14:47:57.620000
53,Mena,Temple,2013-05-26 14:47:57.620000
54,Penelope,Pinkett,2013-05-26 14:47:57.620000
55,Fay,Kilmer,2013-05-26 14:47:57.620000
56,Dan,Harris,2013-05-26 14:47:57.620000
57,Jude,Cruise,2013-05-26 14:47:57.620000
58,Christian,Akroyd,2013-05-26 14:47:57.620000
59,Dustin,Tautou,2013-05-26 14:47:57.620000
60,Henry,Berry,2013-05-26 14:47:57.620000
61,Christian,Neeson,2013-05-26 14:47:57.620000
62,Jayne,Neeson,2013-05-26 14:47:57.620000
63,Cameron,Wray,2013-05-26 14:47:57.620000
64,Ray,Johansson,2013-05-26 14:47:57.620000
65,Angela,Hudson,2013-05-26 14:47:57.620000
66,Mary,Tandy,2013-05-26 14:47:57.620000
67,Jessica,Bailey,2013-05-26 14:47:57.620000
68,Rip,Winslet,2013-05-26 14:47:57.620000
69,Kenneth,Paltrow,2013-05-26 14:47:57.620000
70,Michelle,Mcconaughey,2013-05-26 14:47:57.620000
71,Adam,Grant,2013-05-26 14:47:57.620000
72,Sean,Williams,2013-05-26 14:47:57.620000
73,Gary,Penn,2013-05-26 14:47:57.620000
74,Milla,Keitel,2013-05-26 14:47:57.620000
75,Burt,Posey,2013-05-26 14:47:57.620000
76,Angelina,Astaire,2013-05-26 14:47:57.620000
77,Cary,Mcconaughey,2013-05-26 14:47:57.620000
78,Groucho,Sinatra,2013-05-26 14:47:57.620000
79,Mae,Hoffman,2013-05-26 14:47:57.620000
80,Ralph,Cruz,2013-05-26 14:47:57.620000
81,Scarlett,Damon,2013-05-26 14:47:57.620000
82,Woody,Jolie,2013-05-26 14:47:57.620000
83,Ben,Willis,2013-05-26 14:47:57.620000
84,James,Pitt,2013-05-26 14:47:57.620000
85,Minnie,Zellweger,2013-05-26 14:47:57.620000
143,River,Dean,2013-05-26 14:47:57.620000
86,Greg,Chaplin,2013-05-26 14:47:57.620000
87,Spencer,Peck,2013-05-26 14:47:57.620000
88,Kenneth,Pesci,2013-05-26 14:47:57.620000
89,Charlize,Dench,2013-05-26 14:47:57.620000
90,Sean,Guiness,2013-05-26 14:47:57.620000
91,Christopher,Berry,2013-05-26 14:47:57.620000
92,Kirsten,Akroyd,2013-05-26 14:47:57.620000
93,Ellen,Presley,2013-05-26 14:47:57.620000
94,Kenneth,Torn,2013-05-26 14:47:57.620000
95,Daryl,Wahlberg,2013-05-26 14:47:57.620000
96,Gene,Willis,2013-05-26 14:47:57.620000
97,Meg,Hawke,2013-05-26 14:47:57.620000
98,Chris,Bridges,2013-05-26 14:47:57.620000
99,Jim,Mostel,2013-05-26 14:47:57.620000
100,Spencer,Depp,2013-05-26 14:47:57.620000
101,Susan,Davis,2013-05-26 14:47:57.620000
102,Walter,Torn,2013-05-26 14:47:57.620000
103,Matthew,Leigh,2013-05-26 14:47:57.620000
104,Penelope,Cronyn,2013-05-26 14:47:57.620000
105,Sidney,Crowe,2013-05-26 14:47:57.620000
106,Groucho,Dunst,2013-05-26 14:47:57.620000
107,Gina,Degeneres,2013-05-26 14:47:57.620000
108,Warren,Nolte,2013-05-26 14:47:57.620000
109,Sylvester,Dern,2013-05-26 14:47:57.620000
110,Susan,Davis,2013-05-26 14:47:57.620000
111,Cameron,Zellweger,2013-05-26 14:47:57.620000
112,Russell,Bacall,2013-05-26 14:47:57.620000
113,Morgan,Hopkins,2013-05-26 14:47:57.620000
114,Morgan,Mcdormand,2013-05-26 14:47:57.620000
115,Harrison,Bale,2013-05-26 14:47:57.620000
116,Dan,Streep,2013-05-26 14:47:57.620000
117,Renee,Tracy,2013-05-26 14:47:57.620000
118,Cuba,Allen,2013-05-26 14:47:57.620000
119,Warren,Jackman,2013-05-26 14:47:57.620000
120,Penelope,Monroe,2013-05-26 14:47:57.620000
121,Liza,Bergman,2013-05-26 14:47:57.620000
122,Salma,Nolte,2013-05-26 14:47:57.620000
123,Julianne,Dench,2013-05-26 14:47:57.620000
124,Scarlett,Bening,2013-05-26 14:47:57.620000
