1,6,2006-02-15 10:07:09.000000
2,11,2006-02-15 10:07:09.000000
3,6,2006-02-15 10:07:09.000000
4,11,2006-02-15 10:07:09.000000
5,8,2006-02-15 10:07:09.000000
6,9,2006-02-15 10:07:09.000000
7,5,2006-02-15 10:07:09.000000
8,11,2006-02-15 10:07:09.000000
9,11,2006-02-15 10:07:09.000000
10,15,2006-02-15 10:07:09.000000
11,9,2006-02-15 10:07:09.000000
12,12,2006-02-15 10:07:09.000000
13,11,2006-02-15 10:07:09.000000
14,4,2006-02-15 10:07:09.000000
15,9,2006-02-15 10:07:09.000000
16,9,2006-02-15 10:07:09.000000
17,12,2006-02-15 10:07:09.000000
18,2,2006-02-15 10:07:09.000000
19,1,2006-02-15 10:07:09.000000
20,12,2006-02-15 10:07:09.000000
21,1,2006-02-15 10:07:09.000000
22,13,2006-02-15 10:07:09.000000
23,2,2006-02-15 10:07:09.000000
24,11,2006-02-15 10:07:09.000000
25,13,2006-02-15 10:07:09.000000
26,14,2006-02-15 10:07:09.000000
27,15,2006-02-15 10:07:09.000000
28,5,2006-02-15 10:07:09.000000
29,1,2006-02-15 10:07:09.000000
30,11,2006-02-15 10:07:09.000000
31,8,2006-02-15 10:07:09.000000
32,13,2006-02-15 10:07:09.000000
33,7,2006-02-15 10:07:09.000000
34,11,2006-02-15 10:07:09.000000
35,11,2006-02-15 10:07:09.000000
36,2,2006-02-15 10:07:09.000000
37,4,2006-02-15 10:07:09.000000
38,1,2006-02-15 10:07:09.000000
39,14,2006-02-15 10:07:09.000000
40,6,2006-02-15 10:07:09.000000
41,16,2006-02-15 10:07:09.000000
42,15,2006-02-15 10:07:09.000000
43,8,2006-02-15 10:07:09.000000
44,14,2006-02-15 10:07:09.000000
45,13,2006-02-15 10:07:09.000000
46,10,2006-02-15 10:07:09.000000
47,9,2006-02-15 10:07:09.000000
48,3,2006-02-15 10:07:09.000000
49,14,2006-02-15 10:07:09.000000
50,8,2006-02-15 10:07:09.000000
51,12,2006-02-15 10:07:09.000000
52,9,2006-02-15 10:07:09.000000
53,8,2006-02-15 10:07:09.000000
54,12,2006-02-15 10:07:09.000000
55,14,2006-02-15 10:07:09.000000
56,1,2006-02-15 10:07:09.000000
57,16,2006-02-15 10:07:09.000000
58,6,2006-02-15 10:07:09.000000
59,3,2006-02-15 10:07:09.000000
60,4,2006-02-15 10:07:09.000000
61,7,2006-02-15 10:07:09.000000
62,6,2006-02-15 10:07:09.000000
63,8,2006-02-15 10:07:09.000000
64,7,2006-02-15 10:07:09.000000
65,11,2006-02-15 10:07:09.000000
66,3,2006-02-15 10:07:09.000000
67,1,2006-02-15 10:07:09.000000
68,3,2006-02-15 10:07:09.000000
69,14,2006-02-15 10:07:09.000000
70,2,2006-02-15 10:07:09.000000
71,8,2006-02-15 10:07:09.000000
72,6,2006-02-15 10:07:09.000000
73,14,2006-02-15 10:07:09.000000
74,12,2006-02-15 10:07:09.000000
75,16,2006-02-15 10:07:09.000000
76,12,2006-02-15 10:07:09.000000
77,13,2006-02-15 10:07:09.000000
78,2,2006-02-15 10:07:09.000000
79,7,2006-02-15 10:07:09.000000
80,8,2006-02-15 10:07:09.000000
81,14,2006-02-15 10:07:09.000000
82,8,2006-02-15 10:07:09.000000
83,8,2006-02-15 10:07:09.000000
84,16,2006-02-15 10:07:09.000000
