1,1,1,2006-02-15 10:09:17.000000
2,1,1,2006-02-15 10:09:17.000000
3,1,1,2006-02-15 10:09:17.000000
4,1,1,2006-02-15 10:09:17.000000
5,1,2,2006-02-15 10:09:17.000000
6,1,2,2006-02-15 10:09:17.000000
7,1,2,2006-02-15 10:09:17.000000
8,1,2,2006-02-15 10:09:17.000000
9,2,2,2006-02-15 10:09:17.000000
10,2,2,2006-02-15 10:09:17.000000
11,2,2,2006-02-15 10:09:17.000000
12,3,2,2006-02-15 10:09:17.000000
13,3,2,2006-02-15 10:09:17.000000
14,3,2,2006-02-15 10:09:17.000000
15,3,2,2006-02-15 10:09:17.000000
16,4,1,2006-02-15 10:09:17.000000
17,4,1,2006-02-15 10:09:17.000000
18,4,1,2006-02-15 10:09:17.000000
19,4,1,2006-02-15 10:09:17.000000
20,4,2,2006-02-15 10:09:17.000000
21,4,2,2006-02-15 10:09:17.000000
22,4,2,2006-02-15 10:09:17.000000
23,5,2,2006-02-15 10:09:17.000000
24,5,2,2006-02-15 10:09:17.000000
25,5,2,2006-02-15 10:09:17.000000
26,6,1,2006-02-15 10:09:17.000000
27,6,1,2006-02-15 10:09:17.000000
28,6,1,2006-02-15 10:09:17.000000
29,6,2,2006-02-15 10:09:17.000000
30,6,2,2006-02-15 10:09:17.000000
31,6,2,2006-02-15 10:09:17.000000
32,7,1,2006-02-15 10:09:17.000000
33,7,1,2006-02-15 10:09:17.000000
34,7,2,2006-02-15 10:09:17.000000
35,7,2,2006-02-15 10:09:17.000000
36,7,2,2006-02-15 10:09:17.000000
37,8,2,2006-02-15 10:09:17.000000
38,8,2,2006-02-15 10:09:17.000000
39,8,2,2006-02-15 10:09:17.000000
40,8,2,2006-02-15 10:09:17.000000
41,9,1,2006-02-15 10:09:17.000000
42,9,1,2006-02-15 10:09:17.000000
43,9,1,2006-02-15 10:09:17.000000
44,9,2,2006-02-15 10:09:17.000000
45,9,2,2006-02-15 10:09:17.000000
46,10,1,2006-02-15 10:09:17.000000
47,10,1,2006-02-15 10:09:17.000000
48,10,1,2006-02-15 10:09:17.000000
49,10,1,2006-02-15 10:09:17.000000
50,10,2,2006-02-15 10:09:17.000000
51,10,2,2006-02-15 10:09:17.000000
52,10,2,2006-02-15 10:09:17.000000
53,11,1,2006-02-15 10:09:17.000000
54,11,1,2006-02-15 10:09:17.000000
55,11,1,2006-02-15 10:09:17.000000
56,11,1,2006-02-15 10:09:17.000000
57,11,2,2006-02-15 10:09:17.000000
58,11,2,2006-02-15 10:09:17.000000
